id,title,role_bucket,seniority,is_remote_label,skills,salary_mid,state,posted_month,skill,skill_clean
5678497154,Sr. Business Intelligence Analyst,BI Analyst,Senior,On-site,tableau|r,148683.4,California,2026-03,tableau,Tableau
5677738990,Sr Business Intelligence Analyst,BI Analyst,Mid,On-site,power bi|r,107950.0,Kentucky,2026-03,power bi,Power BI
5677725790,Business Intelligence Senior Insights Analyst,BI Analyst,Senior,On-site,r|data modeling,147574.19,Wisconsin,2026-03,data modeling,Data Modeling
5677719822,"Epic Senior Analyst, Business Intelligence",BI Analyst,Senior,On-site,r|aws,109857.18,Tennessee,2026-03,aws,AWS
5677626884,Enterprise Insights Analyst,Data Analyst,Mid,On-site,sql|python|r|snowflake,119764.45,Utah,2026-03,sql,SQL
5677626884,Enterprise Insights Analyst,Data Analyst,Mid,On-site,sql|python|r|snowflake,119764.45,Utah,2026-03,python,Python
5677626884,Enterprise Insights Analyst,Data Analyst,Mid,On-site,sql|python|r|snowflake,119764.45,Utah,2026-03,snowflake,Snowflake
5673187118,Business Intelligence Analyst II,BI Analyst,Mid,On-site,sql|power bi|r,68557.2,Michigan,2026-03,sql,SQL
5673187118,Business Intelligence Analyst II,BI Analyst,Mid,On-site,sql|power bi|r,68557.2,Michigan,2026-03,power bi,Power BI
5672587982,Business Intelligence Analyst - Analytics Engineer Hybrid (USA Remote),Data Engineer,Mid,Remote,r|dbt,118044.59,Georgia,2026-03,dbt,dbt
5672587978,Business Intelligence Analyst - Analytics Engineer Hybrid (USA Remote),Data Engineer,Mid,Remote,r|dbt,122044.97,Washington,2026-03,dbt,dbt
5672587983,Business Intelligence Analyst - Analytics Engineer Hybrid (USA Remote),Data Engineer,Mid,Remote,r|dbt,123204.7,Illinois,2026-03,dbt,dbt
5672587988,Business Intelligence Analyst - Analytics Engineer Hybrid (USA Remote),Data Engineer,Mid,Remote,r|dbt,123288.73,Texas,2026-03,dbt,dbt
5672514330,Sr. Business Intelligence Analyst,BI Analyst,Senior,On-site,power bi|r,145609.73,Illinois,2026-03,power bi,Power BI
5672227520,Business Intelligence Analyst,BI Analyst,Mid,On-site,power bi|r,54373.39,Indiana,2026-03,power bi,Power BI
5671941941,Lead Business Intelligence Analyst,BI Analyst,Senior,On-site,r|azure,124007.57,Maryland,2026-03,azure,Azure
5671474369,Sr Business Intelligence Analyst - ERP (Hybrid),BI Analyst,Mid,On-site,excel|r,159543.52,Texas,2026-03,excel,Excel
5671275703,Business Intelligence (BI) Analyst,BI Analyst,Mid,On-site,excel|r,63284.82,Arizona,2026-03,excel,Excel
5671030764,Business Intelligence Analyst,BI Analyst,Mid,On-site,sql|power bi|r,88470.52,Texas,2026-03,sql,SQL
5671030764,Business Intelligence Analyst,BI Analyst,Mid,On-site,sql|power bi|r,88470.52,Texas,2026-03,power bi,Power BI
5670819433,Business Intelligence Analyst,BI Analyst,Mid,On-site,excel|r,93173.5,Illinois,2026-03,excel,Excel
5670792888,Associate BI Developer/ Analyst,BI Analyst,Junior,On-site,r|azure,91500.0,Illinois,2026-03,azure,Azure
5670752742,Business Intelligence Analyst,BI Analyst,Mid,On-site,excel|r,147157.34,Maryland,2026-03,excel,Excel
